상품명,가격,할인율,평점,용량,전성분,URL
뽀오얀 미소 발효 클렌징폼 150ml,"8,100원",10%,4.8,150ml,"정제수, 글리세린, 팔미틱애씨드, 라우릭애씨드, 스테아릭애씨드, 포타슘하이드록사이드, 미리스틱애씨드, 피이지-32, 다이프로필렌글라이콜, 코카미도프로필베타인, 소듐미리스토일글루타메이트, 글리세릴스테아레이트, 피이지-100스테아레이트, 소듐클로라이드, 페녹시에탄올, 향료, 아라키딕애씨드, 소듐벤조에이트, 황련뿌리추출물, 다이소듐이디티에이, 부틸렌글라이콜, 포타슘솔베이트, 비에이치티, 효모/보리씨발효여과물, 카카오씨추출물, 덱스트린, 쌀발효여과물, 프로판다이올, 1,2-헥산다이올, 락토바실러스/콩발효추출물, 에틸헥실글리세린",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59265
하트 팝 블러셔 4g,"10,400원",20%,4.9,4g,"탤크, 마이카, 다이아이소스테아릴말레이트, 실리카, 보론나이트라이드, 징크스테아레이트, 다이페닐실록시페닐트라이메티콘, 티타늄디옥사이드 (CI 77891), 망가니즈바이올렛, 다이펜타에리스리틸헥사하이드록시스테아레이트/헥사스테아레이트/헥사로지네이트, 다이메티콘, 울트라마린, 카프릴릴글라이콜, 에틸헥실글리세린, 알루미늄하이드록사이드, 메티콘, 적색226호, 코코-카프릴레이트/카프레이트, 캐스터오일/아이피디아이코폴리머, 카프릴릭/카프릭/석시닉트라이글리세라이드, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=58923
순정 2x 베리어 보습 크림 60ml,"13,600원",20%,4.7,60ml,"정제수, 프로판다이올, 펜타에리스리틸테트라에틸헥사노에이트, 카프릴릭/카프릭트라이글리세라이드, 해바라기씨오일, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 하이드로제네이티드식물성오일, 세테아릴알코올, 판테놀, 1,2-헥산다이올, 카보머, 잔탄검, 글리세릴카프릴레이트, 트로메타민, 에틸헥실글리세린, 다이소듐이디티에이, 마데카소사이드, 레시틴, 부틸렌글라이콜, 토코페롤, 녹차추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=58429
순정 약산성 6.5 휩 클렌저 150ml,"12,000원",20%,6.5,150ml,"정제수, 글리세린, 소르비톨, 프로판디올, 라우릴글루코사이드, 디소듐코코일글루타메이트, 판테놀, 시트릭애씨드, 글리세릴카프릴레이트, 에칠헥실글리세린, 마데카소사이드, 부틸렌글라이콜, 토코페롤, 녹차추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=58265
순정 약산성 5.5 진정 토너 350ml (대용량),"21,600원",20%,5.5,350ml,"정제수, 프로판디올, 글리세린, 베타인, 판테놀, 1,2-헥산디올, 폴리글리세린-3, 에칠헥실글리세린, 디소듐이디티에이, 카보머, 마데카소사이드, 부틸렌글라이콜, 황금추출물, 토코페롤, 녹차추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=58263
애교살 메이커,"9,600원",20%,4.6,애교살라이너 : 0.1g + 애교살 글리터 : 0.5g,"[애교살라이너] 사이클로펜타실록세인, 마이카, 트라이메틸실록시실리케이트, 폴리에틸렌, 아이소도데케인, 세레신, 티타늄디옥사이드 (CI 77891), 합성왁스, 아크릴레이트/스테아릴아크릴레이트/다이메티콘메타크릴레이트코폴리머, 다이스테아다이모늄헥토라이트, 흑색산화철, 황색산화철, 카나우바왁스, 다이아이소스테아릴말레이트, 적색산화철, 페녹시에탄올, 토코페릴아세테이트 / [애교살글리터] 합성플루오르플로고파이트, 마이카, 다이카프릴릴카보네이트, 다이페닐실록시페닐트라이메티콘, 티타늄디옥사이드 (CI 77891), 다이아이소스테아릴말레이트, 펜타에리스리틸테트라아이소스테아레이트, 칼슘티타늄보로실리케이트, 트라이메틸실록시실리케이트, 적색산화철, 실리카, 폴리프로필실세스퀴옥세인, 글리세릴베헤네이트/에이코사디오에이트, 페녹시에탄올, 토코페릴아세테이트, 카프릴릴글라이콜, 틴옥사이드",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=54858
페이스 브라이트너,"13,500원",25%,4.8,5g,"탤크, 합성플루오르플로고파이트, 마이카, 카프릴릭/카프릭트라이글리세라이드, 티타늄디옥사이드 (CI 77891), 보론나이트라이드, 실리카, 마그네슘미리스테이트, 다이아이소스테아릴말레이트, 부틸렌글라이콜다이카프릴레이트/다이카프레이트, 징크스테아레이트, 폴리메틸메타크릴레이트, 에이치디아이/트라이메틸올헥실락톤크로스폴리머, 페닐트라이메티콘, 카프릴릴글라이콜, 에틸헥실글리세린, 적색산화철, 다이메티콘, 황색5호, 틴옥사이드, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66099
디어달링 오일틴트 4.2g,"8,800원",20%,4.2,4.2g,"폴리글리세릴-2아이소스테아레이트/다이머다이리놀리에이트코폴리머, 폴리글리세릴-2트라이아이소스테아레이트, 카프릴릭/카프릭트라이글리세라이드, 다이아이소스테아릴말레이트, 실리카다이메틸실릴레이트, 적색202호, 황색4호, 코코-카프릴레이트/카프레이트, 캐스터오일/아이피디아이코폴리머, 향료, 카프릴릭/카프릭/석시닉트라이글리세라이드, 솔비탄세스퀴올리에이트, 리날룰",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60593
그림자 쉐딩 브러쉬 (눈),"4,250원",15%,4.6,1개입,"인조모,알루미늄,나무",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59997
진저슈가 멜팅 밤 2.3g,"10,400원",20%,2.3,2.3g,"다이아이소스테아릴말레이트, 폴리부텐, 폴리글리세릴-2트라이아이소스테아레이트, 비스-다이글리세릴폴리아실아디페이트-2, 카프릴릭/카프릭트라이글리세라이드, 마이크로크리스탈린왁스, 합성왁스, 티타늄디옥사이드 (CI 77891), 스테아랄코늄헥토라이트, 파라핀, 적색산화철, 적색104호의(1), 프로필렌카보네이트, 흑색산화철, 향료, 카프릴릴글라이콜, 시어버터, 에틸렌/프로필렌코폴리머, 에틸헥실글리세린, 적색202호, 트레할로오스, 정제수, 부틸렌글라이콜, 생강추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59799
럭키 립햄치크 1.5g,"8,250원",25%,1.5,1.5g,"트라이에틸헥사노인, 옥틸도데칸올, 다이아이소스테아릴말레이트, 비스-다이글리세릴폴리아실아디페이트-2, 티타늄디옥사이드 (CI 77891), 카프릴릭/카프릭트라이글리세라이드, 합성왁스, 하이드로제네이티드폴리아이소부텐, 합성비즈왁스, 실리카, 솔비탄세스퀴올리에이트, 브이피/헥사데센코폴리머, 스테아랄코늄헥토라이트, 에틸렌/프로필렌코폴리머, 1,2-헥산다이올, 적색산화철, 프로필렌카보네이트, 황색4호, 트라이에톡시카프릴릴실레인, 토코페릴아세테이트, 적색202호, 다이메티콘, 카프릴릴글라이콜, 벤조트라이아졸릴도데실P-크레솔, 에틸헥실글리세린, 흑색산화철",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66544
홀리데이 에디션 (룩앳마이아이즈듀오/하트팝듀오블러셔/픽싱틴트/진저슈가멜팅밤/진저슈가오버나이트 립마스크),"7,200원",40%,4.7,2.2g,"[마이] 마이카, 탤크, 실리카, 티타늄디옥사이드 (CI 77891), 메틸메타크릴레이트크로스폴리머, 징크스테아레이트, 다이아이소스테아릴말레이트, 다이메티콘, 페닐트라이메티콘, 에틸헥실팔미테이트, 울트라마린, 하이드로제네이티드폴리(C6-14올레핀), 카프릴릭/카프릭트라이글리세라이드, 카민, 알루미늄미리스테이트, 황색산화철, 에틸헥실글리세린, 글리세릴카프릴레이트, 트라이에톡시카프릴릴실레인, 알루미늄하이드록사이드, 토코페릴아세테이트, 토코페롤 [스위티] 마이카, 탤크, 실리카, 티타늄디옥사이드 (CI 77891), 징크스테아레이트, 메틸메타크릴레이트크로스폴리머, 다이아이소스테아릴말레이트, 다이메티콘, 페닐트라이메티콘, 에틸헥실팔미테이트, 울트라마린, 카민, 하이드로제네이티드폴리(C6-14올레핀), 카프릴릭/카프릭트라이글리세라이드, 알루미늄미리스테이트, 에틸헥실글리세린, 황색산화철, 적색산화철, 글리세릴카프릴레이트, 토코페릴아세테이트, 트라이에톡시카프릴릴실레인, 알루미늄하이드록사이드, 토코페롤 [모먼트] 폴리메틸실세스퀴옥세인, 다이아이소스테아릴말레이트, 탤크, 다이메티콘, 칼슘알루미늄보로실리케이트, 페닐트라이메티콘, 칼슘티타늄보로실리케이트, 다이메티콘/비닐다이메티콘크로스폴리머, 폴리프로필렌, 티타늄디옥사이드 (CI 77891), 하이드로제네이티드폴리아이소부텐, 1,2-헥산다이올, 실리카, 에틸헥실글리세린, 글리세릴카프릴레이트, 마이카, 틴옥사이드, 적색산화철, 카민",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63003
순정 10무 수분 에멀전 130ml,"13,600원",20%,4.8,130ml,"정제수, 글리세린, 프로판다이올, 펜타에리스리틸테트라에틸헥사노에이트, 1,2-헥산다이올, 스쿠알란, 판테놀, 세테아릴알코올, 비스-다이글리세릴폴리아실아디페이트-2, 글리세릴스테아레이트, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 하이드로제네이티드레시틴, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 잔탄검, 글리세릴카프릴레이트, 하이드록시프로필스타치포스페이트, 다이소듐이디티에이, 에틸헥실글리세린, 마데카소사이드, 트로메타민, 부틸렌글라이콜, 토코페롤, 녹차추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59899
순정 수분 베리어 크림 75ml,"17,600원",20%,4.8,75ml,"정제수, 글리세린, 프로판다이올, 펜타에리스리틸테트라에틸헥사노에이트, 하이드로제네이티드폴리(C6-14올레핀), 판테놀, 1,2-헥산다이올, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 폴리메틸실세스퀴옥세인, 글리세릴스테아레이트시트레이트, 카보머, C14-22알코올, 글리세릴스테아레이트, 아라키딜알코올, 글리세릴카프릴레이트, 베헤닐알코올, 트로메타민, C12-20알킬글루코사이드, 에틸헥실글리세린, 부틸렌글라이콜, 다이소듐이디티에이, 솔비탄아이소스테아레이트, 아라키딜글루코사이드, 알란토인, 마데카소사이드, 황금추출물, 토코페롤, 녹차추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=58262
그림자 쉐딩 브러쉬 1개입,"10,800원",10%,4.6,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=56105
2X 쌩얼 라이너 0.5g,"12,600원",10%,0.5,0.5g,"정제수, 아크릴레이트코폴리머, 부틸렌글라이콜, 에탄올, 1,2-헥산다이올, 피이지-40하이드로제네이티드캐스터오일, 적색산화철, 카본블랙, 암모늄아크릴레이트코폴리머, 페녹시에탄올, 다이소듐이디티에이",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53711
AC 클린업 핑크스팟 15ml,"14,000원",,3.5,15ml,"변성알코올, 글리세린, 칼라민, 편백수, 티타늄디옥사이드 (CI 77891), 부틸렌글라이콜, 설퍼콜로이드, 에탄올, 쇠비름추출물, 살리실릭애씨드, 정제수, 1,2-헥산다이올, 다이포타슘글리시리제이트, 적색산화철, 티트리잎오일, 약모밀추출물, 실리카, 마데카소사이드, 에틸헥실글리세린, 삼백초추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66982
마이 래쉬 세럼 18g,"15,000원",,4.7,18g,"정제수, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 카프릴릴글라이콜, 에틸헥실글리세린, 에탄올, 판테놀, 생강추출물, 바이오틴, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=65665
소프트 픽스 메이크업 픽서 50ml,"12,750원",15%,4.6,50ml,"정제수, 변성알코올, 프로판다이올, 폴리에스터-5, 1,2-헥산다이올, 글리세레스-25피씨에이아이소스테아레이트, 부틸렌글라이콜, 에틸헥실글리세린, 스타이렌/브이피코폴리머, 글리세린, 향료, 트라이소듐에틸렌다이아민다이석시네이트, 옥수수커넬추출물, 하이드롤라이즈드맥아추출물, 하이드롤라이즈드삼색제비꽃추출물, 하이드롤라이즈드치자추출물, 소듐도독시놀-40설페이트, 소듐하이알루로네이트, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 소르빅애씨드, 프룩탄, 글루코오스",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=65664
그림자 쉐딩 브러쉬 (코),"5,950원",15%,4.7,1개입,"인조모,알루미늄,나무",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59998
피지쏙 팩트 9.5g,"10,500원",25%,9.5,9.5g,"마그네슘포타슘플루오로실리케이트, 실리카, 옥틸도데실스테아로일스테아레이트, 스쿠알란, 실리카다이메티콘실릴레이트, 마그네슘미리스테이트, 알루미늄전분옥테닐석시네이트, 솔비탄아이소스테아레이트, 다이메티콘, 메티콘, 에틸헥실글리세린, 글리세릴카프릴레이트, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=58931
시크릿 빔 파우더 팩트 15g,"13,000원",,4.5,15g,"탤크, 티타늄디옥사이드, 마이카, 실리카, 페닐트라이메티콘, 합성플루오르플로고파이트, 카프릴릭/카프릭트라이글리세라이드, 다이메티콘, 티타늄디옥사이드 (CI 77891), 비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머, 에칠헥실메톡시신나메이트, 황색산화철, 징크스테아레이트, 트라이에톡시카프릴릴실레인, 에틸헥실글리세린, 메티콘, 적색산화철, 글리세릴카프릴레이트, 틴옥사이드, 향료, 울트라마린, 흑색산화철, 에이치디아이/트라이메틸올헥실락톤크로스폴리머, 일라이트, 토코페롤, 카올린, 몬모릴로나이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=58255
립 앤 아이 리무버 100ml,"7,000원",,4.8,100ml,"정제수, 사이클로펜타실록세인, 부틸렌글라이콜, 1,2-헥산다이올, 소듐클로라이드, 카프릴릴/카프릴글루코사이드, 다이소듐이디티에이",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53229
리얼아트 클렌징 오일 모이스처 185ml,"14,400원",20%,4.7,185ml,"세틸에틸헥사노에이트, 카프릴릭/카프릭트라이글리세라이드, 솔베스-30테트라올리에이트, 에틸헥실스테아레이트, 해바라기씨오일, 하이드로제네이티드폴리(C6-14올레핀), 프로필렌글라이콜다이카프릴레이트/다이카프레이트, 향료, 카프릴릴글라이콜, 정제수, 메도우폼씨오일, 토코페롤, 소듐피씨에이",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67126
클라우드 필터 쿠션 기획세트 SPF42/PA+++ (본품 15g + 미니쿠션 5g),"25,500원",25%,4.8,15 g + 5 g,"정제수, 다이메티콘, 메틸트라이메티콘, 티타늄디옥사이드 (CI 77891), 호모살레이트, 부틸렌글라이콜, 라우릴폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘, 티타늄디옥사이드, 페닐트라이메티콘, 트라이실록세인, 카프릴릴메티콘, 폴리메틸실세스퀴옥세인, 실리카, 브이피/헥사데센코폴리머, 나이아신아마이드, 다이스테아다이모늄헥토라이트, 보론나이트라이드, 트라이메틸실록시실리케이트, 알루미늄하이드록사이드, 1,2-헥산다이올, 스테아릭애씨드, 소듐클로라이드, 아크릴레이트/스테아릴아크릴레이트/다이메티콘메타크릴레이트코폴리머, 트라이하이드록시스테아린, 황색산화철, 카프릴릴글라이콜, 트라이에톡시카프릴릴실레인, 적색산화철, 글리세릴카프릴레이트, 에틸헥실글리세린, 향료, 아데노신, 흑색산화철, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64300
님프 광채 볼류머 + 컨실러 2종 기획세트,"24,750원",25%,4.8,24g+7g,"하이드로제네이티드폴리데센, 하이드로제네이티드폴리아이소부텐, 피마자씨오일, 에틸렌/프로필렌코폴리머, 에틸헥실올리베이트, 폴리글리세릴-4다이아이소스테아레이트/폴리하이드록시스테아레이트/세바케이트, 향료, 카프릴릴글라이콜, 다이아이소스테아릴말레이트, 아르간커넬오일, 옥틸도데실스테아로일스테아레이트, 에틸헥실글리세린, 아보카도오일, 티타늄디옥사이드 (CI 77891), 1,2-헥산다이올, 울트라마린, 적색산화철, 하이드롤라이즈드하이알루로닉애씨드 / 정제수, 티타늄디옥사이드 (CI 77891), 사이클로펜타실록세인, 프로판다이올, 트라이메틸실록시실리케이트, 폴리메틸메타크릴레이트, 페닐트라이메티콘, 라우릴피이지-9폴리다이메틸실록시에틸다이메티콘, 펜타에리스리틸테트라에틸헥사노에이트, 사이클로헥사실록세인, 글리세린, 황색산화철, 피이지-10다이메티콘, 1,2-헥산다이올, 아크릴레이트/에틸헥실아크릴레이트/다이메티콘메타크릴레이트코폴리머, 다이스테아다이모늄헥토라이트, 알루미늄하이드록사이드, 소듐클로라이드, 트라이에톡시카프릴릴실레인, 적색산화철, 향료, 카프릴릴글라이콜, 흑색산화철, 글리세릴카프릴레이트, 다이소듐이디티에이, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63346
재창조 메이커 애교살 라이너,"14,400원",10%,4.6,0.9g,"[Pencil] 마이카, C12-15알킬에틸헥사노에이트, 티타늄디옥사이드 (CI 77891), 페닐트라이메티콘, 폴리글리세릴-2트라이아이소스테아레이트, 합성왁스, 칸데릴라왁스, 검양옻나무열매왁스, 합성플루오르플로고파이트, 브이피/헥사데센코폴리머, 하이드로제네이티드폴리아이소부텐, 적색산화철, 카나우바왁스, 폴리하이드록시스테아릭애씨드, 에틸헥실팔미테이트, 레시틴, 아이소스테아릭애씨드, 아이소프로필미리스테이트, 폴리글리세릴-3폴리리시놀리에이트, 카민, 글리세릴카프릴레이트, 틴옥사이드 [Liner] 정제수, 부틸렌글라이콜, 펜틸렌글라이콜, 아크릴레이트코폴리머, 폴리솔베이트20, 페녹시에탄올, 변성알코올, 소듐데하이드로아세테이트, 황색4호, 적색40호, 잔탄검, 청색1호",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=61489
베이킹 파우더 사각사각 모공 스크럽 200g,"9,350원",15%,4.6,200g,"소듐바이카보네이트, 정제수, 글리세린, 실리카, 하이드레이티드실리카, 마이크로크리스탈린셀룰로오스, 피이지-7글리세릴코코에이트, 피이지-60하이드로제네이티드캐스터오일, 향료, 소듐메틸코코일타우레이트, 셀룰로오스검, 소듐설파이트, 멘톡시프로판다이올, 소듐클로라이드, 다이소듐이디티에이, 테트라소듐이디티에이",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59266
반짝눈물 라이너,"9,000원",10%,4.5,8 g,"정제수, 부틸렌글라이콜, 칼슘소듐보로실리케이트, 합성플루오르플로고파이트, 티타늄디옥사이드 (CI 77891), 피브이피, 펜틸렌글라이콜, 1,2-헥산다이올, 폴리솔베이트20, 트로메타민, 카보머, 실리카, 틴옥사이드, 다이소듐이디티에이",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=54856
수분가득 콜라겐 크림 75ml,"22,500원",10%,4.8,75 ml,"하이드롤라이즈드콜라겐(653,800ppm), 프로판다이올, 정제수, 글리세린, 부틸렌글라이콜, 펜타에리스리틸테트라에틸헥사노에이트, 메틸트라이메티콘, 글리세릴폴리메타크릴레이트, 1,2-헥산다이올, 베타인, 하이드로제네이티드폴리(C6-14올레핀), 다이카프릴릴에터, 글리세릴스테아레이트, C14-22알코올, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 글리세릴스테아레이트시트레이트, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 아라키딜알코올, 실리카, 베헤닐알코올, C12-20알킬글루코사이드, 아라키딜글루코사이드, 글리세릴카프릴레이트, 다이소듐이디티에이, 에틸헥실글리세린, 솔비탄아이소스테아레이트, 하이드롤라이즈드루핀단백질, 글루코오스, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53257
수분가득 콜라겐 에멀전 180ml,"18,900원",10%,4.8,180 ml,"정제수, 하이드롤라이즈드콜라겐(186,800ppm), 글리세린, 프로판다이올, 펜타에리스리틸테트라에틸헥사노에이트, 메틸트라이메티콘, 하이드로제네이티드폴리(C6-14올레핀), 1,2-헥산다이올, 부틸렌글라이콜, 세틸에틸헥사노에이트, C14-22알코올, 글리세릴스테아레이트시트레이트, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 아라키딜알코올, 글리세릴스테아레이트, 카보머, 잔탄검, C12-20알킬글루코사이드, 베헤닐알코올, 글리세릴카프릴레이트, 트로메타민, 아라키딜글루코사이드, 다이소듐이디티에이, 에틸헥실글리세린, 솔비탄아이소스테아레이트, 하이드롤라이즈드루핀단백질, 글루코오스, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53255
수분가득 콜라겐 2종 세트,"37,800원",10%,4.7,"[본품]토너200ml+에멀전180ml, [증정]토너25ml+에멀전25ml+크림10ml","∙ 에뛰드 수분가득 콜라겐 토너 : 정제수, 하이드롤라이즈드콜라겐(205,600ppm), 글리세린, 프로판다이올, 변성알코올, 베타인, 1,2-헥산다이올, 부틸렌글라이콜, 글리세릴폴리메타크릴레이트, 피피지-13-데실테트라데세스-24, 잔탄검, 셀룰로오스검, 에틸헥실글리세린, 다이소듐이디티에이, 베타-글루칸, 하이드롤라이즈드루핀단백질, 토코페롤 ∙ 에뛰드 수분가득 콜라겐 에멀전 : 정제수, 하이드롤라이즈드콜라겐(186,800ppm), 글리세린, 프로판다이올, 펜타에리스리틸테트라에틸헥사노에이트, 메틸트라이메티콘, 하이드로제네이티드폴리(C6-14올레핀), 1,2-헥산다이올, 부틸렌글라이콜, 세틸에틸헥사노에이트, C14-22알코올, 글리세릴스테아레이트시트레이트, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 아라키딜알코올, 글리세릴스테아레이트, 카보머, 잔탄검, C12-20알킬글루코사이드, 베헤닐알코올, 글리세릴카프릴레이트, 트로메타민, 아라키딜글루코사이드, 다이소듐이디티에이, 에틸헥실글리세린, 솔비탄아이소스테아레이트, 하이드롤라이즈드루핀단백질, 글루코오스, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53249
클라우드 필터 쿠션 기획세트 SPF42/PA+++ (본품 15g + 미니쿠션 5g),"25,500원",25%,4.8,15g+5g,"정제수, 다이메티콘, 메틸트라이메티콘, 티타늄디옥사이드 (CI 77891), 호모살레이트, 부틸렌글라이콜, 라우릴폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘, 티타늄디옥사이드, 페닐트라이메티콘, 트라이실록세인, 카프릴릴메티콘, 폴리메틸실세스퀴옥세인, 실리카, 브이피/헥사데센코폴리머, 나이아신아마이드, 다이스테아다이모늄헥토라이트, 보론나이트라이드, 트라이메틸실록시실리케이트, 알루미늄하이드록사이드, 1,2-헥산다이올, 스테아릭애씨드, 소듐클로라이드, 아크릴레이트/스테아릴아크릴레이트/다이메티콘메타크릴레이트코폴리머, 트라이하이드록시스테아린, 황색산화철, 카프릴릴글라이콜, 트라이에톡시카프릴릴실레인, 적색산화철, 글리세릴카프릴레이트, 에틸헥실글리세린, 향료, 아데노신, 흑색산화철, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66545
클라우드 필터 쿠션 SPF42/PA+++ 15g,"15,000원",,4.8,15 g,"정제수, 다이메티콘, 메틸트라이메티콘, 티타늄디옥사이드 (CI 77891), 호모살레이트, 부틸렌글라이콜, 라우릴폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘, 티타늄디옥사이드, 페닐트라이메티콘, 트라이실록세인, 카프릴릴메티콘, 폴리메틸실세스퀴옥세인, 실리카, 브이피/헥사데센코폴리머, 나이아신아마이드, 다이스테아다이모늄헥토라이트, 보론나이트라이드, 트라이메틸실록시실리케이트, 알루미늄하이드록사이드, 1,2-헥산다이올, 스테아릭애씨드, 소듐클로라이드, 아크릴레이트/스테아릴아크릴레이트/다이메티콘메타크릴레이트코폴리머, 트라이하이드록시스테아린, 황색산화철, 카프릴릴글라이콜, 트라이에톡시카프릴릴실레인, 적색산화철, 글리세릴카프릴레이트, 에틸헥실글리세린, 향료, 아데노신, 흑색산화철, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66126
그림자 쉐딩,"16,000원",20%,4.8,10 g,"[톤앤톤] 탤크, 마이카, 펜타에리스리틸테트라에틸헥사노에이트, 나일론-12, 다이아이소스테아릴말레이트, 마그네슘스테아레이트, 티타늄디옥사이드 (CI 77891), 황색산화철, 흑색산화철, 다이메티콘, 적색산화철, 1,2-헥산다이올, 아미노프로필다이메티콘, 폴리메틸실세스퀴옥세인, 글리세릴카프릴레이트, 망가니즈바이올렛, 트라이에톡시카프릴릴실레인, 알루미나, 실리카 [무드온] 탤크, 마이카, 펜타에리스리틸테트라에틸헥사노에이트, 나일론-12, 다이아이소스테아릴말레이트, 티타늄디옥사이드 (CI 77891), 황색산화철, 마그네슘스테아레이트, 흑색산화철, 적색산화철, 다이메티콘, 1,2-헥산다이올, 아미노프로필다이메티콘, 폴리메틸실세스퀴옥세인, 글리세릴카프릴레이트, 트라이에톡시카프릴릴실레인, 알루미나, 실리카",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=65568
오버 글로이 틴트 기획세트,"11,200원",20%,4.7,3g,"정제수, 다이아이소스테아릴말레이트, 비스-다이글리세릴폴리아실아디페이트-2, 하이드로제네이티드폴리아이소부텐, 다이페닐다이메티콘, 트라이메틸실록시페닐다이메티콘, 글리세린, 폴리페닐실세스퀴옥세인, 세틸피이지/피피지-10/1다이메티콘, 1,2-헥산다이올, 폴리솔베이트60, 솔비탄아이소스테아레이트, 티타늄디옥사이드 (CI 77891), 세테아레스-20, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 스쿠알란, 페녹시에탄올, 에틸헥실글리세린, 향료, 황색4호, 적색104호의(1), 적색227호, 황색5호, 청색1호, 펜타에리스리틸테트라-다이-T-부틸하이드록시하이드로신나메이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=65428
슈가컬러링 젤리밤 9g,"9,600원",20%,4.6,9g,"다이아이소스테아릴말레이트, 하이드로제네이티드폴리아이소부텐, 폴리부텐, 비스-베헤닐/아이소스테아릴/피토스테릴다이머다이리놀레일다이머다이리놀리에이트, 시어버터, 마이크로크리스탈린왁스, 에틸렌/프로필렌/스타이렌코폴리머, 1,2-헥산다이올, 합성왁스, 에틸렌/프로필렌코폴리머, 토코페릴아세테이트, 향료, 에틸헥실글리세린, 부틸렌/에틸렌/스타이렌코폴리머, 펜타에리스리틸테트라-다이-T-부틸하이드록시하이드로신나메이트, 시트릭애씨드, 스위트아몬드오일, 흑당밀가루, 정제수, 토코페롤, 부틸렌글라이콜, 사탕수수추출물, 마시멜로뿌리추출물, 밀겨추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64500
